City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Victoria,HK,80.01,scattered clouds,22.2855,114.1577,Mini Hotel Central
8,Dubbo,AU,80.6,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
14,Hervey Bay,AU,72.0,light rain,-25.2986,152.8535,Shelly Bay Resort
21,Rikitea,PF,78.06,few clouds,-23.1203,-134.9692,Pension Maro'i
28,Busselton,AU,79.88,overcast clouds,-33.65,115.3333,Observatory Guest House
30,Japura,ID,86.83,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
37,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Port Lincoln,AU,73.29,clear sky,-34.7333,135.8667,Port Lincoln Hotel
44,Hasaki,JP,72.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
47,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
53,San Matias,BO,76.53,moderate rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
59,Isangel,VU,79.07,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
64,Cap Malheureux,MU,84.0,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
65,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
67,Atuona,PF,80.78,overcast clouds,-9.8,-139.0333,Villa Enata
68,Matadi,CD,75.51,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
71,Kavaratti,IN,82.49,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
76,Sao Domingos,BR,73.13,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
82,Hithadhoo,MV,83.79,broken clouds,-0.6,73.0833,Scoop Guest House
84,Maragogi,BR,76.89,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
86,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
87,Patiya,BD,87.8,haze,22.2931,91.9762,R Village
91,Pontes E Lacerda,BR,72.84,moderate rain,-15.2261,-59.3353,Hotel Bressan
94,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
100,Sao Filipe,CV,72.93,overcast clouds,14.8961,-24.4956,Tortuga B&B
103,Innisfail,AU,73.96,light rain,-17.5333,146.0333,Moondarra Motel
104,Esperance,AU,78.8,scattered clouds,-33.8667,121.9,Hospitality Esperance
105,Morant Bay,JM,78.01,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
106,Sorong,ID,84.63,overcast clouds,-0.8833,131.25,The Waigo Hotel
110,Marawi,PH,81.93,overcast clouds,7.9986,124.2928,Derogongan Residence
117,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Batobalani,PH,86.11,few clouds,14.2366,122.7434,Batobalani Resort
124,Arraial Do Cabo,BR,73.94,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
126,Georgetown,MY,89.01,light rain,5.4112,100.3354,Cititel Penang
132,Mandiana,GN,76.73,few clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
134,Villa Altagracia,DO,77.0,broken clouds,18.673,-70.171,La Maison de AAVA
135,Flinders,AU,80.01,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
137,Swan Hill,AU,91.22,clear sky,-35.3378,143.5544,Lazy River Motor Inn
140,Butaritari,KI,82.29,light rain,3.0707,172.7902,Isles Sunset Lodge
141,Kupang,ID,75.2,heavy intensity rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
146,Poso,ID,88.56,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
147,Caramay,PH,85.98,overcast clouds,10.1815,119.236,Peace and Love Beach Club
160,Luganville,VU,82.71,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
161,Kavieng,PG,83.07,moderate rain,-2.5744,150.7967,Nusa Island Retreat
171,Kahului,US,73.4,light rain,20.8947,-156.47,Maui Seaside Hotel
173,Cao Bang,VN,72.99,overcast clouds,22.6667,106.25,khách sạn 88
174,Cabo San Lucas,MX,72.0,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
175,Geraldton,AU,89.6,few clouds,-28.7667,114.6,Broadwater Mariner Resort
178,Morondava,MG,77.14,clear sky,-20.2833,44.2833,La Case Bambou
182,Chabahar,IR,84.27,clear sky,25.2919,60.643,هتل گدروشیا
190,Saint-Leu,RE,86.0,clear sky,-21.15,55.2833,La Caz Oceane
191,Namibe,AO,76.69,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
193,Filingue,NE,72.72,clear sky,14.3521,3.3168,
197,Kirakira,SB,85.5,broken clouds,-10.4544,161.9205,SanBiz Lodge
207,Padang,ID,84.2,moderate rain,-0.9492,100.3543,Mercure Padang
210,Lima,PE,72.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
211,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
212,Acarau,BR,77.94,broken clouds,-2.8856,-40.12,castelo pizzaria
213,Cockburn Town,TC,75.78,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
214,Port Augusta,AU,82.4,clear sky,-32.5,137.7667,Majestic Oasis Apartments
218,Kulhudhuffushi,MV,84.16,clear sky,6.6221,73.07,Haajy Guest House 1
223,Narrabri,AU,81.0,broken clouds,-30.3167,149.7833,Crossroads Hotel
225,Odweyne,SO,76.75,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
232,Bowen,AU,80.6,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
234,Akyab,MM,85.78,few clouds,20.15,92.9,Hotel Memory
235,Takoradi,GH,78.53,few clouds,4.8845,-1.7554,Raybow International Hotel
236,Veraval,IN,84.69,clear sky,20.9,70.3667,Lords Inn Somnath
240,Anloga,GH,82.4,scattered clouds,5.7947,0.8973,Pin Drop Hotel
241,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
243,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
250,Playas,EC,75.79,light rain,-2.6333,-80.3833,Hostal Promenade
253,Bambanglipuro,ID,85.24,broken clouds,-7.95,110.2833,Puri Brata
256,Kidal,ML,74.07,clear sky,18.4411,1.4078,
257,Faanui,PF,82.81,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
258,Meulaboh,ID,84.51,overcast clouds,4.1363,96.1285,Kost Pria
270,Vao,NC,76.26,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
271,Saint-Joseph,RE,86.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
273,Bengkulu,ID,81.18,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
282,Ozubulu,NG,76.24,broken clouds,5.9567,6.849,Udegbunam's Residence
283,Tari,NG,73.74,clear sky,12.4086,4.4914,
286,Canto Do Buriti,BR,75.74,broken clouds,-8.11,-42.9444,Novo Hotel
289,Nelson Bay,AU,81.0,light rain,-32.7167,152.15,Mantra Nelson Bay
290,Moranbah,AU,78.24,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
291,Santa Rosa,PH,88.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
292,Ternate,ID,84.13,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
293,Aracati,BR,76.33,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
298,Along,IN,87.57,broken clouds,28.1667,94.7667,Hotel West
305,Robertsport,LR,78.84,clear sky,6.7533,-11.3686,Kwepunha Retreat
306,Jerantut,MY,91.22,moderate rain,3.9360000000000004,102.3626,Jerantut Hill Resort
313,Bambous Virieux,MU,84.99,broken clouds,-20.3428,57.7575,Casa Tia Villa
318,Mitsamiouli,KM,83.19,overcast clouds,-11.3847,43.2844,Foyer ADM
319,Kilindoni,TZ,80.38,moderate rain,-7.9139,39.6668,Bustani B&B
320,Beloha,MG,74.7,broken clouds,-25.1667,45.05,
321,Umm Lajj,SA,74.5,few clouds,25.0213,37.2685,Moon light Furnished Units
324,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
325,Ixtapa,MX,75.0,few clouds,20.7,-105.2,Hotel Plaza Providencia
326,San Policarpo,PH,83.93,broken clouds,12.1791,125.5072,JM Lodge
329,Gizo,SB,84.94,moderate rain,-8.103,156.8419,Imagination Island
332,Moctezuma,MX,72.99,clear sky,29.8,-109.6667,Hotel Lobohombo
336,Kihei,US,73.4,scattered clouds,20.785,-156.4656,Maui Sunset
338,Araguaina,BR,75.79,broken clouds,-7.1911,-48.2072,Hotel São Vicente
340,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
346,Hermosillo,MX,80.6,clear sky,29.0667,-110.9667,ibis Hermosillo
347,Manta,EC,78.8,overcast clouds,-0.95,-80.7333,Balandra Hotel
348,Lorengau,PG,81.66,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
349,Yulara,AU,87.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
351,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
353,Biltine,TD,78.03,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
356,Tema,GH,78.8,clear sky,5.667000000000001,-0.0166,Beulah Royale
357,Muisne,EC,77.0,overcast clouds,0.6,-80.0333,Quinta Samay
358,Porto Nacional,BR,75.2,few clouds,-10.7081,-48.4172,Vila Real Hotel
362,Mount Isa,AU,87.8,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
367,Pemba,MZ,75.2,light rain,-12.974,40.5178,Guesthouse Samotina
369,Eydhafushi,MV,83.7,clear sky,5.1033,73.0708,Soneva Fushi
371,Adrar,MR,75.2,broken clouds,20.5022,-10.0711,
376,Kieta,PG,82.26,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
378,Hambantota,LK,86.0,clear sky,6.1241,81.1185,Bungalow 63
380,Kismayo,SO,84.15,overcast clouds,-0.3582,42.5454,Agan-Hotel
383,Praia,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
385,Tura,IN,93.81,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
387,Iracoubo,GF,76.82,moderate rain,5.4802,-53.2011,Le Gite D Iracoubo
388,Grand Gaube,MU,84.99,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
389,Chicama,PE,72.39,overcast clouds,-7.8447,-79.1469,Chicama Me Gusta
393,Hobyo,SO,84.11,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
398,Khonsa,IN,83.12,few clouds,27.0167,95.5667,
402,Itarema,BR,78.1,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
403,Caravelas,BR,74.28,light rain,-17.7125,-39.2481,Pousada dos Navegantes
407,Kiunga,PG,82.63,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
408,Lahat,ID,87.89,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
414,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
415,Taoudenni,ML,79.99,overcast clouds,22.6783,-3.9836,
421,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
426,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
429,Kouroussa,GN,74.66,scattered clouds,10.65,-9.8833,Hotel Paillote
430,Cairns,AU,82.4,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
431,Saint-Philippe,RE,86.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
437,Aripuana,BR,72.01,overcast clouds,-9.1667,-60.6333,
438,Dovers,VC,78.13,overcast clouds,12.8833,-61.1833,Ocean Breeze
442,Sibu,MY,89.6,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
446,Kharan,PK,86.94,clear sky,28.5833,65.4167,Dil Aram Bangla
448,Mareeba,AU,82.4,light rain,-17.0,145.4333,Trinity Plains Tourist Park
458,San Andres,CO,80.6,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
466,Port Blair,IN,85.95,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
467,Basco,PH,79.14,clear sky,20.4487,121.9702,Nathaniel's Lodge
468,Hoa Binh,VN,82.4,mist,20.8133,105.3383,Hoa Dao Hotel
469,Port Pirie,AU,82.4,clear sky,-33.1833,138.0167,John Pirie Motor Inn
476,Auki,SB,86.88,broken clouds,-8.7676,160.7034,Auki Motel
480,Miri,MY,87.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
481,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
484,Sampang,ID,89.6,scattered clouds,-7.1872,113.2394,sekretariat IKA STAIN
486,Bull Savanna,JM,73.29,scattered clouds,17.8868,-77.5902,Big Red's
487,Bonthe,SL,77.74,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
489,Oriximina,BR,73.08,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
490,Adre,TD,72.75,overcast clouds,13.4667,22.2,
500,Sungairaya,ID,88.52,broken clouds,0.7,108.9,Mess P.Milu
503,Kununurra,AU,95.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
504,Tabou,CI,78.15,scattered clouds,4.423,-7.3528,hotêl doufoulougou
505,Puerto Colombia,CO,78.8,fog,10.9878,-74.9547,Hotel El Emigrante
506,Christchurch,NZ,78.8,clear sky,-43.5333,172.6333,The George
507,Dwarka,IN,83.77,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
509,Moree,AU,80.6,scattered clouds,-29.4667,149.85,Molika Springs Motel
511,Gondanglegi,ID,88.56,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
514,Bandar-E Lengeh,IR,78.8,haze,26.5579,54.8807,کافی نت پارس
518,Olinda,BR,75.2,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
520,Sao Gabriel Da Cachoeira,BR,73.42,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
526,Haapiti,PF,84.2,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
527,Batemans Bay,AU,82.0,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
528,Saint-Pierre,RE,86.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
533,Kayankulam,IN,86.77,broken clouds,9.1833,76.5,Hotel Royal Indraprastha
