City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Leningradskiy,RU,2021-04-04 04:53:47,69.3833,178.4167,-0.17,94,100,7.31,overcast clouds
1,Puerto Ayora,EC,2021-04-04 04:53:47,-0.7393,-90.3518,75.99,95,68,1.99,broken clouds
2,Goderich,CA,2021-04-04 04:53:47,43.7501,-81.7165,41.0,56,3,6.91,clear sky
3,Bokovskaya,RU,2021-04-04 04:53:48,49.229,41.8306,38.93,70,89,8.66,overcast clouds
4,Punta Arenas,CL,2021-04-04 04:53:35,-53.15,-70.9167,39.2,70,0,11.5,clear sky
5,El Alto,PE,2021-04-04 04:53:48,-4.2714,-81.2147,70.83,83,94,7.47,light rain
6,Victoria,HK,2021-04-04 04:52:53,22.2855,114.1577,80.01,85,29,1.01,scattered clouds
7,Ushuaia,AR,2021-04-04 04:42:06,-54.8,-68.3,35.6,75,40,4.61,scattered clouds
8,Dubbo,AU,2021-04-04 04:53:49,-32.25,148.6167,80.6,41,40,4.61,scattered clouds
9,Jamestown,US,2021-04-04 04:44:12,42.097,-79.2353,46.0,36,90,9.22,overcast clouds
10,East London,ZA,2021-04-04 04:42:19,-33.0153,27.9116,60.6,77,1,7.38,clear sky
11,Codrington,AU,2021-04-04 04:47:59,-38.2667,141.9667,64.74,65,27,13.09,scattered clouds
12,Half Moon Bay,US,2021-04-04 04:44:14,37.4636,-122.4286,51.8,81,1,3.44,clear sky
13,Osa,RU,2021-04-04 04:53:50,57.2829,55.4567,33.93,96,100,5.77,snow
14,Hervey Bay,AU,2021-04-04 04:53:50,-25.2986,152.8535,72.0,95,100,5.99,light rain
15,Copiapo,CL,2021-04-04 04:53:51,-27.3667,-70.3333,60.8,77,90,9.22,overcast clouds
16,Hobart,AU,2021-04-04 04:42:50,-42.8794,147.3294,68.0,32,40,18.41,scattered clouds
17,Zhigansk,RU,2021-04-04 04:48:02,66.7697,123.3711,-2.97,82,100,5.68,overcast clouds
18,Cherskiy,RU,2021-04-04 04:47:06,68.75,161.3,4.03,83,34,1.45,scattered clouds
19,Ewo,CG,2021-04-04 04:53:51,-0.8725,14.8206,71.87,88,100,2.77,overcast clouds
20,Otjiwarongo,NA,2021-04-04 04:53:52,-20.4637,16.6477,63.61,52,0,8.95,clear sky
21,Rikitea,PF,2021-04-04 04:53:52,-23.1203,-134.9692,78.06,57,22,21.61,few clouds
22,Mataura,NZ,2021-04-04 04:47:14,-46.1927,168.8643,60.01,77,75,21.0,broken clouds
23,Hermanus,ZA,2021-04-04 04:47:01,-34.4187,19.2345,61.0,93,1,5.03,clear sky
24,Whitehorse,CA,2021-04-04 04:53:53,60.7161,-135.0538,30.2,34,20,2.3,few clouds
25,Albany,US,2021-04-04 04:42:53,42.6001,-73.9662,36.0,35,65,3.27,broken clouds
26,Marienburg,PL,2021-04-04 04:53:53,54.0359,19.0266,33.01,91,30,5.55,scattered clouds
27,Qaanaaq,GL,2021-04-04 04:47:10,77.484,-69.3632,-21.26,72,15,9.6,few clouds
28,Busselton,AU,2021-04-04 04:53:54,-33.65,115.3333,79.88,46,97,17.38,overcast clouds
29,Sioux Lookout,CA,2021-04-04 04:47:41,50.1001,-91.917,37.4,56,75,2.01,broken clouds
