City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2021-04-01 04:29:34,-42.8794,147.3294,81.0,23,0,18.41
1,Moron,AR,2021-04-01 04:29:04,-34.6534,-58.6198,68.0,88,3,4.81
2,Mar Del Plata,AR,2021-04-01 04:29:12,-38.0023,-57.5575,66.0,93,93,8.55
3,Rikitea,PF,2021-04-01 04:31:39,-23.1203,-134.9692,78.91,72,100,17.02
4,Kavaratti,IN,2021-04-01 04:31:39,10.5669,72.642,83.66,68,40,11.34
5,Teguise,ES,2021-04-01 04:30:02,29.0605,-13.564,60.8,77,0,1.14
6,Nikolskoye,RU,2021-04-01 04:31:39,59.7035,30.7861,34.0,93,40,6.71
7,Souillac,MU,2021-04-01 04:31:40,-20.5167,57.5167,77.0,94,75,5.75
8,Iqaluit,CA,2021-04-01 04:29:45,63.7506,-68.5145,-5.01,71,75,25.32
9,Geraldton,AU,2021-04-01 04:31:40,-28.7667,114.6,100.4,19,0,14.97
10,Bilibino,RU,2021-04-01 04:30:23,68.0546,166.4372,11.93,89,100,1.99
11,Ushuaia,AR,2021-04-01 04:31:25,-54.8,-68.3,41.0,75,0,4.61
12,Ribeira Grande,PT,2021-04-01 04:29:27,38.5167,-28.7,58.23,72,0,11.74
13,East London,ZA,2021-04-01 04:31:41,-33.0153,27.9116,64.4,82,20,4.61
14,Hermanus,ZA,2021-04-01 04:31:41,-34.4187,19.2345,59.0,95,96,4.76
15,Bluff,NZ,2021-04-01 04:31:42,-46.6,168.3333,57.0,78,100,4.0
16,Qaanaaq,GL,2021-04-01 04:31:42,77.484,-69.3632,-12.21,65,58,8.72
17,Laguna,US,2021-04-01 04:30:48,38.421,-121.4238,64.99,39,1,2.8
18,Punta Arenas,CL,2021-04-01 04:31:42,-53.15,-70.9167,42.8,87,0,6.91
19,Artyom,AZ,2021-04-01 04:31:43,40.4723,50.333,48.2,87,0,4.61
20,Bongandanga,CD,2021-04-01 04:31:43,1.5,21.05,69.31,97,51,2.15
21,Saint George,US,2021-04-01 04:31:43,37.1041,-113.5841,61.0,14,1,3.44
22,Cidreira,BR,2021-04-01 04:31:44,-30.1811,-50.2056,67.42,79,46,10.38
23,Katangli,RU,2021-04-01 04:31:44,51.7102,143.2326,33.96,90,25,8.21
24,San Cristobal,VE,2021-04-01 04:31:45,7.7669,-72.225,66.56,85,99,2.66
25,Port Shepstone,ZA,2021-04-01 04:31:45,-30.7414,30.455,69.82,73,100,4.99
26,Sao Filipe,CV,2021-04-01 04:31:45,14.8961,-24.4956,70.5,74,25,10.27
27,Nemuro,JP,2021-04-01 04:30:51,43.3236,145.575,50.0,50,40,14.97
28,Ramsey,US,2021-04-01 04:31:46,45.0333,-93.0835,28.4,46,1,8.05
29,Nisia Floresta,BR,2021-04-01 04:31:47,-6.0911,-35.2086,80.6,78,20,6.91
30,Esperance,AU,2021-04-01 04:31:47,-33.8667,121.9,84.2,39,33,4.61
31,Marakkanam,IN,2021-04-01 04:31:47,12.2,79.95,87.8,66,20,3.44
32,Torbay,CA,2021-04-01 04:31:48,47.6666,-52.7314,25.0,74,1,6.91
33,Saint-Philippe,RE,2021-04-01 04:31:48,-21.3585,55.7679,82.4,74,40,10.36
34,Victor Harbor,AU,2021-04-01 04:31:48,-35.5667,138.6167,75.99,62,4,5.17
35,Saint Anthony,US,2021-04-01 04:31:49,45.0205,-93.218,28.0,46,1,4.61
36,Saint-Joseph,RE,2021-04-01 04:31:49,-21.3667,55.6167,82.4,74,40,10.36
37,Albany,US,2021-04-01 04:31:49,42.6001,-73.9662,44.01,70,100,9.78
38,Mataura,NZ,2021-04-01 04:31:50,-46.1927,168.8643,57.0,78,100,4.0
39,College,US,2021-04-01 04:30:48,64.8569,-147.8028,21.0,73,90,11.5
40,Hilo,US,2021-04-01 04:31:50,19.7297,-155.09,66.99,100,90,5.75
41,Chokurdakh,RU,2021-04-01 04:31:50,70.6333,147.9167,7.52,90,62,5.88
42,Nanortalik,GL,2021-04-01 04:30:38,60.1432,-45.2371,35.06,89,96,11.59
43,Kaeo,NZ,2021-04-01 04:31:51,-35.1,173.7833,66.0,90,31,1.01
44,Pilar,BR,2021-04-01 04:31:51,-9.5972,-35.9567,75.2,94,20,5.75
45,Barrow,US,2021-04-01 04:31:51,71.2906,-156.7887,-5.8,65,1,19.57
46,Vaini,TO,2021-04-01 04:31:52,-21.2,-175.2,82.4,83,75,6.91
47,Ketchikan,US,2021-04-01 04:30:58,55.3422,-131.6461,35.6,100,90,5.75
48,Tiznit,MA,2021-04-01 04:31:52,29.5833,-9.5,58.14,58,0,0.51
49,Rabaul,PG,2021-04-01 04:31:53,-4.1967,152.1721,84.54,67,43,10.25
50,Ilulissat,GL,2021-04-01 04:31:53,69.2167,-51.1,19.4,63,75,10.36
51,Saskylakh,RU,2021-04-01 04:31:53,71.9167,114.0833,-18.17,95,99,10.38
52,Ponta Do Sol,PT,2021-04-01 04:31:53,32.6667,-17.1,57.99,73,24,5.01
53,Ahipara,NZ,2021-04-01 04:31:54,-35.1667,173.1667,66.31,70,24,7.74
54,Corner Brook,CA,2021-04-01 04:31:54,48.9667,-57.9484,35.6,74,20,3.44
55,Salalah,OM,2021-04-01 04:31:54,17.0151,54.0924,82.4,20,0,1.14
56,Jamestown,US,2021-04-01 04:28:36,42.097,-79.2353,39.0,70,90,8.05
57,Constitucion,CL,2021-04-01 04:31:55,-35.3333,-72.4167,55.15,85,93,5.73
58,Udachnyy,RU,2021-04-01 04:31:26,66.4167,112.4,-6.68,80,100,11.81
59,Port Alfred,ZA,2021-04-01 04:31:55,-33.5906,26.891,64.99,84,89,11.03
60,Kaitangata,NZ,2021-04-01 04:30:34,-46.2817,169.8464,60.01,70,80,1.99
61,Busselton,AU,2021-04-01 04:31:56,-33.65,115.3333,79.12,51,100,3.85
62,Chodavaram,IN,2021-04-01 04:31:56,17.8333,82.95,87.8,74,20,6.91
63,Georgetown,MY,2021-04-01 04:31:56,5.4112,100.3354,90.0,58,20,4.61
64,Sakaiminato,JP,2021-04-01 04:31:57,35.55,133.2333,62.6,44,20,24.16
65,Upernavik,GL,2021-04-01 04:29:20,72.7868,-56.1549,7.14,70,100,4.59
66,Khatanga,RU,2021-04-01 04:30:28,71.9667,102.5,-17.79,90,21,1.57
67,Avera,US,2021-04-01 04:31:57,33.194,-82.5271,62.6,86,90,9.22
68,Xichang,CN,2021-04-01 04:31:57,27.8964,102.2634,78.01,15,14,6.67
69,Alice Springs,AU,2021-04-01 04:31:58,-23.7,133.8833,87.01,21,0,11.5
70,Paamiut,GL,2021-04-01 04:31:58,61.994,-49.6678,34.92,74,100,25.7
71,Palana,RU,2021-04-01 04:31:58,59.1167,159.9667,29.01,93,100,1.34
72,Along,IN,2021-04-01 04:31:59,28.1667,94.7667,74.39,57,98,3.78
73,Gubkinskiy,RU,2021-04-01 04:31:59,64.434,76.5026,20.46,94,100,21.5
74,Karratha,AU,2021-04-01 04:31:59,-20.7377,116.8463,95.27,25,3,13.87
75,Butaritari,KI,2021-04-01 04:31:59,3.0707,172.7902,82.96,78,22,15.79
76,Limbang,MY,2021-04-01 04:32:00,4.75,115.0,87.8,66,75,8.05
77,New Norfolk,AU,2021-04-01 04:29:34,-42.7826,147.0587,81.0,26,99,5.99
78,Dikson,RU,2021-04-01 04:32:00,73.5069,80.5464,-4.32,70,100,5.93
79,Shiyan,CN,2021-04-01 04:32:01,32.6475,110.7781,52.03,92,100,1.99
80,Cabo San Lucas,MX,2021-04-01 04:32:01,22.8909,-109.9124,73.99,44,100,9.73
81,Yellowknife,CA,2021-04-01 04:30:16,62.456,-114.3525,19.0,67,75,11.5
82,Gusinoye Ozero,RU,2021-04-01 04:32:01,51.1144,106.2614,39.94,36,76,13.69
83,Puerto Ayora,EC,2021-04-01 04:32:02,-0.7393,-90.3518,75.99,95,16,3.15
84,Tuktoyaktuk,CA,2021-04-01 04:32:02,69.4541,-133.0374,-14.8,76,20,21.85
85,Petropavlovsk-Kamchatskiy,RU,2021-04-01 04:32:02,53.0452,158.6483,37.4,100,75,11.18
86,Mahajanga,MG,2021-04-01 04:32:03,-15.7167,46.3167,75.2,100,40,3.44
87,Namibe,AO,2021-04-01 04:29:29,-15.1961,12.1522,74.08,85,53,2.86
88,Hithadhoo,MV,2021-04-01 04:29:24,-0.6,73.0833,84.07,77,89,20.29
89,Shingu,JP,2021-04-01 04:32:03,33.7333,135.9833,66.2,52,75,6.91
90,Atuona,PF,2021-04-01 04:32:04,-9.8,-139.0333,81.05,74,75,13.06
91,Port Elizabeth,ZA,2021-04-01 04:32:05,-33.918,25.5701,64.4,77,0,11.5
92,Pinawa,CA,2021-04-01 04:32:05,50.1489,-95.8811,15.48,76,3,5.46
93,Soyo,AO,2021-04-01 04:32:05,-6.1349,12.3689,75.9,88,100,5.57
94,Matara,LK,2021-04-01 04:32:06,5.9485,80.5353,87.93,65,59,12.06
95,Luderitz,NA,2021-04-01 04:32:07,-26.6481,15.1594,67.1,58,0,12.12
96,Chumikan,RU,2021-04-01 04:32:07,54.7183,135.315,33.87,89,100,8.19
97,Kavieng,PG,2021-04-01 04:31:28,-2.5744,150.7967,83.77,69,39,2.71
98,Kapaa,US,2021-04-01 04:31:51,22.0752,-159.319,75.2,83,75,18.41
99,Micheweni,TZ,2021-04-01 04:32:08,-4.9667,39.8333,80.22,82,54,11.21
100,Miri,MY,2021-04-01 04:32:08,4.4148,114.0089,89.6,62,40,5.75
101,Talnakh,RU,2021-04-01 04:32:08,69.4865,88.3972,-7.33,82,12,7.29
102,Arraial Do Cabo,BR,2021-04-01 04:32:09,-22.9661,-42.0278,74.48,75,22,19.93
103,Bure,ET,2021-04-01 04:32:09,10.7,37.0667,67.68,49,94,2.53
104,Norton,ZW,2021-04-01 04:32:09,-17.8833,30.7,54.0,89,94,4.0
105,Raga,SS,2021-04-01 04:32:10,8.4596,25.678,74.14,22,7,3.11
106,Vardo,NO,2021-04-01 04:32:10,70.3705,31.1107,33.48,94,95,16.26
107,Imbituba,BR,2021-04-01 04:28:26,-28.24,-48.6703,69.8,68,0,12.66
108,Cherskiy,RU,2021-04-01 04:30:47,68.75,161.3,8.02,86,100,5.35
109,Tacuati,PY,2021-04-01 04:32:10,-23.45,-56.5833,64.26,73,63,2.55
110,Acaponeta,MX,2021-04-01 04:32:11,22.4964,-105.3594,66.87,56,92,2.55
111,Presidencia Roque Saenz Pena,AR,2021-04-01 04:32:11,-26.7852,-60.4388,61.5,79,97,4.59
112,Tadine,NC,2021-04-01 04:32:11,-21.55,167.8833,75.54,85,100,18.95
113,Fruitvale,US,2021-04-01 04:32:12,39.0817,-108.4968,43.0,18,1,4.61
114,Pochutla,MX,2021-04-01 04:32:11,15.7432,-96.4661,79.0,80,56,1.45
115,Cape Town,ZA,2021-04-01 04:31:03,-33.9258,18.4232,62.01,82,20,8.05
116,Kodiak,US,2021-04-01 04:30:13,57.79,-152.4072,30.2,55,90,16.11
117,Majene,ID,2021-04-01 04:32:12,-3.5403,118.9707,89.02,58,78,12.39
118,Dingle,PH,2021-04-01 04:32:13,10.9995,122.6711,86.86,62,100,15.7
119,Parabel,RU,2021-04-01 04:32:13,58.6978,81.4825,30.94,87,100,12.24
120,Luena,AO,2021-04-01 04:32:13,-11.7833,19.9167,60.3,99,91,2.48
121,Popondetta,PG,2021-04-01 04:32:13,-8.7537,148.2534,83.48,70,100,3.51
122,Thinadhoo,MV,2021-04-01 04:32:14,0.5333,72.9333,83.59,78,100,20.36
123,Santa Marta,CO,2021-04-01 04:27:26,11.2408,-74.199,86.0,58,40,5.75
124,Riohacha,CO,2021-04-01 04:32:14,11.5444,-72.9072,78.67,70,64,14.81
125,Rawson,AR,2021-04-01 04:30:48,-43.3002,-65.1023,58.98,88,100,8.39
126,Grindavik,IS,2021-04-01 04:29:12,63.8424,-22.4338,41.0,87,90,17.27
127,Ancud,CL,2021-04-01 04:32:15,-41.8697,-73.8203,53.01,100,90,5.75
128,Poum,NC,2021-04-01 04:30:20,-20.2333,164.0167,78.31,75,100,12.1
129,Hofn,IS,2021-04-01 04:32:15,64.2539,-15.2082,42.08,65,2,11.72
130,Bethel,US,2021-04-01 04:32:16,41.3712,-73.414,55.0,96,100,3.67
131,Pacific Grove,US,2021-04-01 04:32:16,36.6177,-121.9166,62.6,39,1,5.75
132,Teresina,BR,2021-04-01 04:32:16,-5.0892,-42.8019,77.0,94,75,1.68
133,Komsomolskiy,UZ,2021-04-01 04:32:17,40.4272,71.7189,44.6,45,20,34.52
134,Galveston,US,2021-04-01 04:32:17,29.3669,-94.9669,62.6,42,90,28.77
135,Gevrai,IN,2021-04-01 04:32:17,19.2667,75.75,94.5,14,41,13.65
136,Rudbar,AF,2021-04-01 04:32:18,30.15,62.6,64.78,20,0,12.8
137,Bonavista,CA,2021-04-01 04:32:18,48.6499,-53.1147,27.0,74,6,5.75
138,Marevo,RU,2021-04-01 04:32:18,57.3146,32.0804,38.43,97,100,2.26
139,Aloleng,PH,2021-04-01 04:32:19,16.1307,119.7824,87.71,61,14,8.97
140,Hamilton,US,2021-04-01 04:32:08,39.1834,-84.5333,39.0,49,28,1.99
141,Honiara,SB,2021-04-01 04:32:19,-9.4333,159.95,83.32,75,96,3.71
142,Northam,GB,2021-04-01 04:32:02,51.0333,-4.2167,48.0,92,100,1.99
143,Ilebo,CD,2021-04-01 04:29:19,-4.3167,20.5833,70.92,93,99,1.48
144,Brenham,US,2021-04-01 04:32:19,30.1669,-96.3977,59.0,41,90,6.91
145,Ostrovnoy,RU,2021-04-01 04:32:20,68.0531,39.5131,31.95,99,100,11.07
146,Tuatapere,NZ,2021-04-01 04:32:20,-46.1333,167.6833,57.0,78,100,4.0
147,Faya,SA,2021-04-01 04:32:21,18.3851,42.4509,62.6,51,0,4.61
148,Quatre Cocos,MU,2021-04-01 04:32:21,-20.2078,57.7625,80.01,94,75,5.75
149,Hambantota,LK,2021-04-01 04:32:21,6.1241,81.1185,87.8,74,20,9.22
150,Vila Franca Do Campo,PT,2021-04-01 04:32:21,37.7167,-25.4333,57.2,82,20,3.44
151,Mayo,US,2021-04-01 04:31:06,38.8876,-76.5119,57.99,100,40,17.22
152,Vao,NC,2021-04-01 04:32:22,-22.6667,167.4833,74.93,80,100,16.44
153,Millinocket,US,2021-04-01 04:32:22,45.6573,-68.7098,50.0,81,75,3.44
154,Prado,BR,2021-04-01 04:32:23,-17.3411,-39.2208,75.15,94,47,7.27
155,Ngunguru,NZ,2021-04-01 04:32:23,-35.6167,174.5,66.0,90,34,1.01
156,Bandarbeyla,SO,2021-04-01 04:32:23,9.4942,50.8122,79.84,53,50,2.75
157,Katsuura,JP,2021-04-01 04:30:34,35.1333,140.3,69.01,59,75,6.91
158,Gumdag,TM,2021-04-01 04:32:24,39.2061,54.5906,53.6,33,89,26.84
159,Zhigalovo,RU,2021-04-01 04:32:24,54.8097,105.1578,28.54,56,66,12.82
160,Belaya Gora,RU,2021-04-01 04:31:42,68.5333,146.4167,12.47,82,64,4.23
161,Bubaque,GW,2021-04-01 04:32:25,11.2833,-15.8333,76.5,65,1,12.5
162,Provideniya,RU,2021-04-01 04:32:26,64.3833,-173.3,8.6,66,0,4.47
